timestamp,queue_running,process_count,process_cpu_percent,process_rss_mb,system_load_1m,system_ram_used_mb,system_ram_total_mb,gpu_util_percent,gpu_memory_used_mb,gpu_memory_total_mb,gpu_temperature_c,gpu_power_w,disk_used_gb,disk_free_gb
2026-08-04T19:51:53+08:00,1,2,105.0,1850.9,8.86,77199.1,772407.7,94,6945,32768,37,235.69,1060649.30,13164673.70
2026-08-04T19:52:03+08:00,1,2,105.0,1851.1,8.50,77324.2,772407.7,97,6945,32768,38,296.43,1060650.66,13164668.34
2026-08-04T19:52:13+08:00,1,2,105.0,1851.1,8.81,77657.1,772407.7,97,6645,32768,37,288.18,1060650.78,13164665.22
2026-08-04T19:52:23+08:00,1,2,105.0,1850.8,8.60,77674.6,772407.7,98,6363,32768,37,142.04,1060650.78,13164648.22
2026-08-04T19:52:33+08:00,1,2,105.0,1851.0,8.45,77918.3,772407.7,97,6061,32768,37,267.29,1060648.94,13164666.06
2026-08-04T19:52:43+08:00,1,2,105.0,1851.0,8.92,78036.7,772407.7,95,5779,32768,37,239.74,1060649.64,13164645.36
2026-08-04T19:52:53+08:00,1,2,105.0,1850.9,8.77,78447.6,772407.7,89,5495,32768,36,241.22,1060649.93,13164642.07
2026-08-04T19:53:03+08:00,1,2,105.0,1880.7,8.81,78278.7,772407.7,86,1571,32768,34,72.93,1060649.95,13164661.05
2026-08-04T19:53:13+08:00,1,2,105.0,1947.0,9.78,78851.9,772407.7,95,5483,32768,36,182.51,1060650.00,13164667.00
2026-08-04T19:53:23+08:00,1,2,105.0,1947.0,9.75,78652.8,772407.7,95,5483,32768,37,221.73,1060650.04,13164644.96
2026-08-04T19:53:33+08:00,1,2,105.0,1946.9,9.55,79631.0,772407.7,95,5361,32768,37,258.23,1060650.16,13164651.84
2026-08-04T19:53:43+08:00,1,2,105.0,1946.9,9.08,78767.8,772407.7,96,5361,32768,38,287.21,1060650.15,13164657.85
2026-08-04T19:53:53+08:00,1,2,105.0,1947.1,9.08,79144.4,772407.7,95,5141,32768,37,271.84,1060650.24,13164660.76
2026-08-04T19:54:03+08:00,1,2,105.0,1947.1,8.99,77608.6,772407.7,97,4819,32768,37,265.21,1060650.32,13164662.68
2026-08-04T19:54:13+08:00,1,2,105.0,1947.0,9.24,78228.3,772407.7,98,4597,32768,37,272.15,1060650.40,13164649.60
2026-08-04T19:54:23+08:00,1,2,105.0,1947.0,9.34,78670.7,772407.7,87,1351,32768,34,94.86,1060650.47,13164640.53
2026-08-04T19:54:34+08:00,1,2,105.0,1851.0,9.44,79122.0,772407.7,95,6947,32768,37,213.93,1060650.55,13164620.45
2026-08-04T19:54:44+08:00,1,2,105.0,1851.1,9.29,79047.6,772407.7,96,6945,32768,37,288.18,1060650.65,13164605.35
2026-08-04T19:54:54+08:00,1,2,105.0,1850.9,9.16,78745.1,772407.7,96,6645,32768,37,289.15,1060650.74,13164575.26
2026-08-04T19:55:04+08:00,1,2,105.0,1851.1,8.98,79271.8,772407.7,96,6365,32768,37,252.88,1060650.79,13164557.21
2026-08-04T19:55:14+08:00,1,2,105.0,1851.2,9.00,80082.5,772407.7,96,6221,32768,37,294.20,1060650.87,13164518.13
2026-08-04T19:55:24+08:00,1,2,105.0,1850.9,8.84,78095.8,772407.7,97,5919,32768,37,247.54,1060651.11,13164495.89
2026-08-04T19:55:34+08:00,1,2,105.0,1851.1,9.42,78182.6,772407.7,97,5777,32768,37,290.90,1060651.14,13164489.86
2026-08-04T19:55:44+08:00,1,2,105.0,1851.0,9.89,77749.7,772407.7,79,5495,32768,35,236.82,1060651.23,13164497.77
2026-08-04T19:55:54+08:00,1,2,105.0,1894.0,10.21,77288.4,772407.7,79,1351,32768,34,75.47,1060651.30,13164480.70
2026-08-04T19:56:04+08:00,1,2,105.0,1947.1,10.41,77636.2,772407.7,91,5483,32768,36,219.15,1060651.42,13164466.58
2026-08-04T19:56:14+08:00,1,2,105.0,1946.9,10.11,77731.5,772407.7,90,5481,32768,37,191.65,1060651.70,13164443.30
2026-08-04T19:56:24+08:00,1,2,105.0,1947.0,9.70,78353.4,772407.7,97,5481,32768,37,271.84,1060651.90,13165128.10
2026-08-04T19:56:34+08:00,1,2,105.0,1947.0,9.13,78389.1,772407.7,95,5141,32768,37,259.69,1060652.10,13164447.90
2026-08-04T19:56:44+08:00,1,2,105.0,1947.2,8.87,78303.3,772407.7,97,4939,32768,37,294.98,1060652.17,13164448.83
2026-08-04T19:56:54+08:00,1,2,105.0,1947.0,8.67,78777.6,772407.7,100,4717,32768,37,248.02,1060652.36,13164450.64
2026-08-04T19:57:04+08:00,1,2,105.0,1947.1,9.11,79460.0,772407.7,82,4397,32768,36,286.42,1060652.46,13164458.54
2026-08-04T19:57:14+08:00,1,2,105.0,1851.1,9.32,78817.8,772407.7,97,6945,32768,37,207.33,1060652.95,13164467.05
2026-08-04T19:57:24+08:00,1,2,105.0,1839.7,8.88,79021.9,772407.7,98,6787,32768,37,258.23,1060653.14,13164466.86
2026-08-04T19:57:34+08:00,1,2,105.0,1839.8,8.74,78914.1,772407.7,97,6645,32768,37,246.73,1060653.84,13164469.16
2026-08-04T19:57:44+08:00,1,2,105.0,1839.8,8.62,78893.5,772407.7,97,6505,32768,38,267.77,1060653.90,13164479.10
2026-08-04T19:57:54+08:00,1,2,105.0,1839.6,9.15,79221.0,772407.7,96,6361,32768,37,294.39,1060654.04,13164489.96
2026-08-04T19:58:04+08:00,1,2,105.0,1839.9,9.34,78886.2,772407.7,96,6221,32768,37,283.32,1060654.20,13164516.80
2026-08-04T19:58:15+08:00,1,2,105.0,1671.4,9.43,74789.6,772407.7,0,1051,32768,29,56.35,1060654.37,13164548.63
2026-08-04T19:58:25+08:00,1,2,105.0,1671.4,9.52,75808.1,772407.7,0,1051,32768,29,55.90,1060654.53,13164586.47
2026-08-04T19:58:35+08:00,1,2,105.0,1671.4,9.29,76094.0,772407.7,0,1051,32768,29,55.90,1060654.72,13164605.28
2026-08-04T19:58:45+08:00,1,2,104.0,1671.4,9.64,76882.5,772407.7,0,1051,32768,29,55.90,1060654.95,13164610.05
2026-08-04T19:58:55+08:00,1,2,104.0,1671.4,9.55,76842.8,772407.7,0,1051,32768,29,55.90,1060655.29,13164635.71
2026-08-04T19:59:05+08:00,1,2,104.0,1671.4,12.43,77826.4,772407.7,0,1051,32768,29,55.97,1060655.46,13164658.54
2026-08-04T19:59:15+08:00,1,2,104.0,1685.3,12.79,73075.8,772407.7,0,1051,32768,29,55.86,1060655.58,13164703.42
2026-08-04T19:59:25+08:00,1,2,104.0,1685.3,11.82,74425.6,772407.7,0,1051,32768,29,55.90,1060655.75,13164739.25
2026-08-04T19:59:35+08:00,1,2,104.0,1685.3,11.56,74538.3,772407.7,0,1051,32768,29,55.90,1060655.92,13164799.08
2026-08-04T19:59:45+08:00,1,2,103.0,1685.3,10.94,75452.1,772407.7,0,1051,32768,29,55.94,1060656.31,13164923.69
2026-08-04T19:59:55+08:00,1,2,103.0,1685.3,10.48,76330.5,772407.7,0,1051,32768,29,55.97,1060658.48,13164978.52
2026-08-04T20:00:05+08:00,1,2,103.0,1685.3,10.26,77192.1,772407.7,0,1051,32768,29,55.97,1060658.93,13164998.07
