Mon Jun  1 00:40:28 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:45:10.550, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.38 W
Mon Jun  1 00:45:15 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:45:15.579, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.38 W
Mon Jun  1 00:45:20 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:45:20.611, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.38 W
Mon Jun  1 00:45:25 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:45:25.644, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
Mon Jun  1 00:45:30 CST 2026
timestamp, name, memory.used [MiB], memory.total [MiB], utilization.gpu [%], power.draw [W]
2026/06/01 00:45:30.679, Tesla V100-SXM2-32GB, 0 MiB, 32768 MiB, 0 %, 41.36 W
